14
20 79
36 19 37
1 7 92
23 25 63
36 29 14
36 12 83
31 40 24
16 14 87
43 34 59
17 30 48
27 35 80
6 29 59
35 21 83
9 1 14
9 16 46
21 25 69
19 11 92
3 21 80
33 1 66
15 37 61
15 28 5
17 34 87
33 35 26
8 20 27
5 31 6
22 26 58
22 33 91
11 42 37
26 19 64
27 4 11
33 17 99
30 43 3
34 38 74
26 35 84
42 34 37
20 30 50
8 16 76
28 18 78
27 34 92
27 41 85
3 9 16
11 23 41
39 40 72
20 36 40
39 24 39
4 41 91
26 9 38
22 27 36
4 30 83
13 37 50
36 16 85
27 32 18
23 23 94
3 28 35
10 31 35
12 40 87
12 24 21
43 36 80
19 25 14
41 1 93
19 27 94
41 39 77
39 33 37
5 1 31
22 19 60
12 12 92
26 27 89
35 9 1
17 22 55
7 38 9
14 2 83
34 35 10
26 40 30
11 39 63
4 13 31
39 29 60
15 22 0
2 26 66
24 16 84
8 14 32
3 24 28
28 28 73
33 21 83
40 18 85
23 1 6
33 13 27
23 7 90
11 34 54
5 42 12
5 35 10
38 6 81
6 33 56
10 7 26
14 29 37
2 4 44
27 31 81
24 36 3
14 12 73
25 9 36
25 27 11
42 14 3
40 20 73
3 18 50
2 20 11
38 8 7
5 32 25
2 40 80
32 23 66
8 4 41
16 12 11
39 10 38
14 6 28
41 23 63
1 20 31
26 15 55
3 35 84
1 35 89
43 7 94
24 22 8
16 27 60
43 37 89
4 31 21
27 8 7
24 43 55
5 28 79
37 27 78
17 13 16
20 32 54
1 11 92
10 36 93
33 27 64
42 40 17
32 16 58
21 43 49
42 6 44
27 39 3
33 36 45
14 9 25
21 7 54
30 18 68
8 17 39
7 26 25
10 19 21
18 23 18
10 13 56
19 20 23
38 19 44
13 35 68
31 17 86
12 21 20
21 6 79
8 23 17
20 18 32
32 32 75
4 16 25
32 43 53
5 41 15
5 13 2
22 20 57
10 10 39
38 11 4
33 24 96
22 43 27
12 34 35
31 9 99
20 17 84
24 24 46
20 12 6
10 2 47
28 19 42
15 38 93
26 23 72
13 39 96
21 17 45
15 29 72
26 20 99
40 1 1
29 30 23
1 1 74
3 8 50
38 25 55
9 9 32
34 9 31
1 21 8
14 33 90
4 4 29
2 36 10
38 41 13
3 5 3
10 1 2
10 5 30
27 40 88
12 15 83
28 22 95
17 35 98
34 25 36
34 28 81
31 31 38
7 25 10
11 7 48
19 23 60
18 37 22
38 20 78
43 1 72
9 17 54
16 31 91
2 15 84
6 32 25
3 26 84
10 9 41
2 43 30
5 17 79
10 29 88
12 27 29
20 23 13
4 19 59
10 4 51
19 2 12
27 17 69
32 30 18
4 14 58
35 2 59
10 28 49
8 11 64
32 13 70
10 26 32
34 29 78
38 31 62
37 17 24
25 41 36
16 30 14
36 8 59
36 23 55
19 30 45
21 36 97
40 5 82
40 13 4
42 41 10
16 25 54
32 29 20
39 16 51
15 27 71
8 18 76
29 29 43
28 4 29
13 13 3
13 22 16
8 35 78
30 13 45
34 13 31
42 19 96
1 16 39
31 8 82
16 15 90
23 2 16
1 32 31
29 33 11
36 37 87
14 37 18
7 34 99
24 42 34
40 34 22
39 26 19
9 8 33
22 4 11
15 24 97
12 26 94
20 20 14
41 41 92
39 37 38
40 24 66
38 18 78
32 26 51
31 43 33
18 18 31
11 43 56
20 41 92
35 35 68
14 39 7
5 16 96
6 28 93
43 26 22
3 30 36
39 3 36
39 12 94
8 5 76
31 26 39
43 3 29
30 42 35
21 26 35
40 32 64
16 6 35
31 29 44
25 5 28
9 7 80
36 32 18
20 4 10
6 40 40
30 11 27
33 43 16
16 13 72
22 6 45
33 28 55
41 32 65
9 12 15
5 7 30
13 77
1 2 777
2 3 317
3 4 755
4 5 595
5 6 545
6 7 22
7 8 793
8 9 32
9 10 880
10 11 191
11 12 345
12 13 126
11 2 31
13 2 84
12 9 44
7 3 43
9 6 25
2 10 51
4 1 29
7 1 52
3 9 35
2 4 20
12 3 55
10 5 84
8 11 49
6 5 59
11 5 99
7 8 40
8 5 6
10 10 52
5 12 69
4 7 76
11 6 91
9 4 98
12 10 69
9 9 89
5 3 35
12 7 77
13 11 73
8 1 41
9 13 27
3 3 99
8 8 32
11 4 16
6 4 50
11 3 79
2 9 63
13 10 48
11 7 11
7 5 65
7 13 47
6 10 70
10 7 32
10 11 98
1 3 93
8 10 5
6 6 32
1 12 12
2 12 39
8 6 73
5 13 92
1 5 85
2 1 58
6 2 50
3 2 74
4 12 89
2 7 99
10 3 38
5 2 37
4 13 61
1 13 34
4 8 10
9 11 35
1 1 49
8 9 74
8 13 39
5 5 30
43 616
1 2 747
2 3 791
3 4 513
4 5 528
5 6 955
6 7 139
7 8 542
8 9 189
9 10 777
10 11 768
11 12 556
12 13 961
13 14 819
14 15 823
15 16 458
16 17 149
17 18 775
18 19 870
19 20 158
20 21 862
21 22 644
22 23 542
23 24 842
24 25 769
25 26 322
26 27 823
27 28 491
28 29 969
29 30 493
30 31 208
31 32 52
32 33 15
33 34 542
34 35 603
35 36 984
36 37 834
37 38 234
38 39 248
39 40 520
40 41 663
41 42 287
42 43 313
41 21 73
33 32 34
11 19 62
8 28 75
12 4 53
33 21 65
23 30 1
16 14 43
28 25 20
38 13 55
23 29 10
14 40 58
17 20 85
34 9 53
35 26 77
27 16 7
6 15 42
9 25 91
34 38 10
23 27 98
5 29 66
42 7 41
22 6 90
11 1 25
6 42 86
26 7 61
26 39 93
25 31 75
4 42 30
17 14 40
23 15 30
14 10 45
21 21 35
24 16 79
28 18 30
26 19 0
29 6 63
24 43 64
2 29 24
4 17 95
30 11 44
20 19 70
36 6 85
30 16 62
18 6 73
40 11 13
25 34 62
11 34 34
30 18 73
32 21 89
42 30 6
28 1 80
13 33 78
5 43 53
10 2 19
23 8 64
1 36 13
20 10 43
26 14 23
10 23 77
15 30 91
26 32 35
1 34 8
4 29 98
39 2 52
2 8 60
11 9 0
18 26 56
33 25 62
23 3 99
39 19 89
40 38 7
8 39 49
18 12 34
21 31 60
43 37 21
43 22 68
17 22 24
1 31 96
11 26 0
36 42 89
1 43 67
10 25 72
40 34 55
20 38 48
25 14 93
7 35 34
10 31 30
39 6 6
33 14 41
33 8 5
11 3 47
5 4 79
31 38 90
12 3 26
11 17 29
38 23 24
20 9 31
26 24 64
20 12 57
37 8 13
12 30 24
43 31 72
5 7 10
22 42 27
30 24 16
10 33 51
7 43 38
30 39 9
21 23 62
27 10 51
35 30 7
8 8 9
40 42 60
39 27 39
30 17 84
34 31 30
11 38 99
41 34 42
7 18 34
4 15 41
27 42 15
19 5 22
1 38 41
32 40 12
32 9 66
6 20 83
16 13 80
20 32 92
31 28 8
5 40 42
8 20 29
4 20 4
21 34 80
16 34 84
38 38 10
5 20 98
32 38 25
18 37 52
14 7 78
16 19 48
10 17 61
16 15 66
14 11 27
28 42 90
23 5 20
18 35 88
23 43 90
4 13 72
35 19 38
29 16 5
11 23 23
42 31 71
10 9 95
27 40 18
9 42 62
26 22 73
11 36 58
32 43 97
12 8 28
29 35 33
5 36 29
33 37 48
32 34 96
20 27 9
38 5 47
8 41 13
32 31 9
5 28 60
21 6 28
33 12 18
26 26 88
19 24 87
6 7 20
24 18 46
8 21 60
41 11 54
9 12 76
33 5 77
7 17 52
20 41 44
16 28 30
30 34 35
2 30 95
11 39 76
32 27 53
13 3 8
19 41 96
26 31 20
21 26 11
23 1 52
39 38 59
39 20 52
1 40 7
13 39 42
36 26 78
23 25 65
5 21 18
24 33 61
18 25 7
40 33 77
29 3 27
13 43 35
13 32 31
32 11 86
9 19 75
17 31 0
16 21 95
35 15 47
38 37 14
3 35 23
33 39 52
19 34 72
31 19 8
19 37 40
6 2 76
12 42 21
17 23 79
41 28 29
27 35 84
21 36 50
8 10 93
32 22 81
30 29 20
3 42 79
27 13 89
15 15 23
39 40 84
16 40 93
40 20 39
9 2 68
32 32 45
19 19 42
12 5 6
10 40 97
42 10 31
10 29 25
13 34 4
37 4 65
24 37 86
2 33 92
28 12 80
18 9 23
17 34 22
12 22 3
22 9 93
17 2 0
39 17 62
7 37 47
24 32 35
11 28 89
28 3 14
10 1 79
26 30 68
35 21 96
18 21 70
43 43 1
27 26 19
34 26 79
27 22 53
27 8 75
4 24 37
29 28 74
18 39 12
14 31 92
16 38 0
16 8 53
39 32 31
4 9 51
3 34 69
16 33 17
6 24 3
13 37 17
35 22 94
36 16 9
29 34 51
37 10 72
15 22 65
36 31 20
16 10 98
37 26 33
41 38 1
13 30 76
17 43 66
33 42 79
37 39 90
43 33 16
13 17 44
38 6 69
40 15 85
31 9 61
29 29 53
15 18 55
20 16 83
14 4 77
2 20 43
35 1 7
36 3 7
3 22 69
30 10 46
42 20 77
3 27 5
6 11 17
35 35 89
3 26 81
10 38 84
7 1 9
39 1 74
27 38 11
1 26 17
20 36 21
30 4 42
31 2 55
34 5 22
2 2 89
2 35 14
7 31 8
14 28 94
35 36 9
16 2 64
15 43 43
7 3 6
10 3 11
32 8 94
12 2 85
5 16 60
22 28 78
10 6 2
12 12 68
15 36 58
35 43 78
7 36 43
6 9 20
21 37 52
36 4 69
13 15 20
42 26 6
4 7 17
20 31 15
20 28 39
25 29 31
15 10 8
28 19 16
15 28 5
12 23 88
12 1 74
38 42 28
10 28 65
26 38 64
17 38 77
25 38 50
8 9 16
8 40 60
35 34 13
9 40 21
6 4 98
28 34 84
13 23 76
28 9 64
6 30 10
15 38 62
25 3 70
6 40 12
25 15 70
8 5 3
42 18 17
8 13 61
8 18 89
18 33 90
17 15 30
24 27 14
33 6 85
25 42 73
27 41 67
15 26 75
11 31 29
41 3 59
29 20 6
1 24 84
38 3 38
19 23 32
8 36 86
38 33 54
26 10 73
41 29 97
43 6 94
14 13 66
18 36 7
8 26 61
31 40 45
16 32 79
27 11 67
1 2 24
32 19 12
31 31 41
13 11 47
2 19 61
18 13 12
6 14 73
38 14 26
17 8 29
9 9 86
8 30 49
42 19 4
14 32 18
42 14 98
40 12 86
6 23 2
13 7 61
32 23 48
27 5 16
5 6 95
4 39 32
39 35 1
6 35 99
8 43 32
16 9 1
7 22 29
15 42 22
17 36 66
22 34 78
19 15 10
2 26 5
25 24 53
13 21 7
1 4 77
4 4 52
30 43 8
21 19 96
1 25 63
12 29 89
24 20 65
19 22 13
15 7 52
14 39 84
41 6 55
21 14 4
2 5 13
12 19 80
6 6 83
24 11 20
2 40 92
21 40 58
18 32 13
25 19 64
29 19 13
23 35 83
25 22 42
34 37 91
27 7 1
43 39 28
16 7 67
38 22 68
16 1 73
18 20 41
3 3 0
12 24 43
10 18 11
18 34 69
12 13 53
28 4 27
17 26 83
36 13 48
12 15 25
42 35 49
17 3 79
4 27 39
13 10 97
6 25 55
19 13 4
40 26 63
17 35 44
32 3 98
29 42 60
28 30 91
35 11 28
3 2 12
15 29 19
16 11 61
24 9 12
5 32 69
33 19 43
30 36 59
25 37 64
43 27 60
25 32 30
36 40 58
41 22 55
13 31 90
6 3 76
18 31 72
23 40 50
3 15 91
34 42 54
30 40 38
14 35 49
12 34 7
30 7 52
13 9 24
12 36 20
25 30 85
28 27 17
42 43 86
40 17 16
17 25 49
34 36 18
28 37 83
27 9 38
22 8 78
26 13 27
2 23 42
16 26 39
27 34 13
11 21 26
43 10 58
33 4 34
22 10 27
42 23 32
26 25 61
2 32 60
15 21 64
15 14 18
37 40 5
14 19 77
4 31 83
4 19 97
27 18 97
20 22 94
18 11 6
5 30 86
32 41 70
9 36 61
28 26 32
5 14 80
22 18 36
13 40 52
18 5 44
17 24 80
34 14 29
19 3 42
13 20 41
12 43 90
27 30 86
15 41 76
37 29 29
11 10 45
18 19 65
15 24 60
16 37 16
18 16 53
24 5 6
8 42 31
24 8 14
6 31 67
24 36 60
5 35 5
11 42 32
36 19 48
17 19 38
40 3 20
32 17 97
21 38 33
20 11 69
22 33 12
43 26 29
31 23 87
8 6 6
33 17 97
31 12 37
20 7 75
5 15 8
10 39 32
4 18 37
4 25 86
66 2099
1 2 372
2 3 560
3 4 824
4 5 203
5 6 129
6 7 758
7 8 375
8 9 681
9 10 769
10 11 964
11 12 487
12 13 929
13 14 782
14 15 870
15 16 341
16 17 22
17 18 174
18 19 932
19 20 624
20 21 825
21 22 876
22 23 302
23 24 662
24 25 535
25 26 923
26 27 154
27 28 713
28 29 897
29 30 972
30 31 459
31 32 715
32 33 381
33 34 18
34 35 404
35 36 992
36 37 901
37 38 948
38 39 886
39 40 628
40 41 887
41 42 587
42 43 567
43 44 933
44 45 133
45 46 388
46 47 572
47 48 681
48 49 550
49 50 512
50 51 55
51 52 203
52 53 13
53 54 834
54 55 956
55 56 898
56 57 200
57 58 689
58 59 409
59 60 802
60 61 300
61 62 135
62 63 36
63 64 567
64 65 110
65 66 617
37 28 41
63 29 88
26 3 8
51 28 89
57 55 51
54 5 80
33 56 48
17 53 52
40 34 73
25 26 88
29 10 39
64 49 56
65 9 0
61 52 57
48 14 43
16 22 99
16 2 17
50 20 35
2 9 91
31 53 60
26 52 37
16 63 28
5 52 93
30 47 27
64 60 48
39 59 9
35 62 23
58 63 9
19 51 29
58 35 42
3 28 24
39 2 11
18 53 54
66 61 77
41 23 97
43 46 49
61 21 68
33 2 89
25 2 25
34 54 66
1 3 61
52 35 91
61 8 72
1 33 30
13 31 30
60 25 81
31 30 12
14 64 77
12 26 58
24 42 69
62 56 48
49 44 18
45 34 78
25 31 73
62 28 38
46 5 32
28 43 99
35 61 89
40 50 47
5 15 92
60 52 77
20 37 56
21 38 5
14 29 71
48 36 21
5 31 27
7 15 24
9 3 78
62 39 90
46 28 79
43 65 0
45 38 52
17 62 64
38 9 78
57 6 34
66 17 35
60 48 82
30 62 64
54 54 37
34 56 82
42 55 48
49 34 52
4 15 75
47 37 76
66 30 47
53 54 5
48 19 6
54 22 28
45 37 23
32 43 29
29 9 14
32 66 71
56 3 82
25 38 20
14 3 85
53 45 94
57 14 25
7 51 33
37 19 63
19 24 70
22 40 85
37 2 60
24 11 65
1 50 21
42 44 29
65 12 87
49 1 0
4 12 21
53 50 17
8 30 49
8 55 34
35 5 50
16 56 49
33 9 44
57 32 15
9 43 87
44 40 60
43 45 91
59 65 47
59 46 99
29 24 75
53 52 56
43 27 50
61 39 44
7 62 88
61 5 33
10 57 0
8 59 95
15 6 83
61 30 32
10 45 78
57 31 25
29 48 1
46 39 70
35 13 29
1 16 80
59 14 94
16 3 68
24 20 86
22 34 3
33 29 9
44 25 60
12 19 37
55 14 45
55 7 3
23 53 71
55 5 55
24 15 91
4 32 24
47 60 20
19 45 88
3 62 90
55 43 47
53 13 10
38 34 42
19 62 20
11 60 31
21 17 52
11 20 95
44 57 65
4 23 76
18 59 62
43 42 87
64 15 23
43 33 60
47 62 30
37 48 82
47 44 78
15 26 21
27 16 13
49 60 93
4 39 41
3 38 9
18 34 25
39 41 71
61 2 8
50 59 81
54 48 89
7 20 2
6 58 0
19 9 51
15 46 39
57 54 3
41 47 16
10 55 21
8 22 70
33 52 47
64 37 82
48 12 3
23 8 69
22 53 65
39 60 68
39 20 9
17 29 89
52 10 42
27 24 16
65 47 46
18 31 81
26 62 12
32 54 43
42 11 21
54 52 40
20 4 83
22 32 98
43 31 67
63 55 6
58 15 41
19 19 0
12 28 39
43 62 40
21 35 98
51 21 8
63 44 32
26 59 14
10 62 19
60 10 97
10 38 54
49 63 27
48 61 39
39 12 65
59 42 56
5 16 79
36 47 53
21 12 3
47 35 21
27 11 25
14 24 50
49 62 98
43 6 65
39 11 81
15 66 91
13 6 85
35 2 3
45 1 45
33 60 71
56 28 45
57 33 40
12 15 57
63 17 42
20 32 99
44 66 32
54 24 32
40 26 19
3 15 57
18 44 0
23 36 1
13 46 27
9 27 67
34 35 61
6 28 58
43 44 83
65 45 3
20 66 40
57 2 39
19 32 75
18 4 65
45 15 33
32 63 81
35 64 5
53 4 51
62 58 86
3 23 79
47 15 51
34 24 54
61 58 14
36 37 39
56 47 82
7 27 88
11 19 58
52 46 95
24 7 53
6 26 86
19 58 43
51 34 53
40 23 59
16 35 13
36 65 64
13 8 60
31 14 90
40 20 28
25 7 52
21 25 90
43 41 29
28 20 11
65 11 47
63 63 57
40 15 22
21 58 92
51 18 75
30 38 7
42 6 1
37 40 99
24 38 32
63 30 39
50 4 35
45 41 12
30 33 27
37 62 20
36 15 25
39 24 59
45 23 80
29 64 64
30 21 41
31 48 41
36 50 58
14 34 70
4 13 7
14 38 1
33 4 79
10 40 46
52 64 94
40 5 9
18 29 7
61 63 80
21 34 74
30 49 58
63 39 77
5 43 17
44 16 93
32 7 66
23 29 86
57 53 44
27 51 86
25 36 13
52 3 66
44 11 73
1 32 83
34 44 4
4 59 56
41 15 62
26 49 72
57 49 76
47 5 78
61 23 60
54 55 37
59 48 42
39 27 48
39 55 46
4 35 27
18 45 84
9 63 9
51 33 5
36 52 10
41 57 8
2 43 26
7 12 46
17 59 97
10 37 41
14 56 75
8 28 74
56 21 29
38 59 41
8 56 21
5 64 24
66 13 98
16 36 44
4 41 90
36 54 25
58 60 49
59 1 89
47 55 38
38 64 22
30 54 50
43 58 39
10 23 42
51 24 23
5 38 65
3 4 9
54 39 24
62 8 57
61 47 75
35 23 82
7 34 71
14 66 54
52 6 37
36 39 56
12 33 15
44 31 31
48 65 92
1 6 11
63 35 56
16 16 8
64 31 70
60 62 38
50 9 97
14 15 27
52 52 0
41 52 73
22 5 77
45 44 65
30 48 46
24 18 57
51 10 47
23 63 98
47 14 71
17 26 97
5 34 93
51 60 19
41 38 35
19 47 44
36 61 78
30 56 55
5 42 81
61 44 68
39 52 87
56 19 0
14 19 29
56 13 21
40 13 49
14 27 72
35 8 7
28 52 89
45 31 18
15 31 90
35 12 99
13 18 52
64 11 55
31 41 41
14 8 0
22 24 16
21 8 11
46 12 50
6 4 4
20 2 7
17 57 13
59 60 79
65 40 95
13 28 98
41 55 81
17 49 6
42 31 71
9 37 29
15 65 1
32 11 86
41 19 65
37 49 54
56 63 65
10 3 78
25 15 39
29 53 33
48 35 5
5 7 70
55 33 7
33 58 33
32 52 72
15 30 15
14 62 11
51 49 7
58 8 73
52 22 77
65 51 45
62 23 45
47 25 28
33 15 34
5 48 69
15 18 22
59 47 31
63 54 56
57 61 33
8 43 42
53 43 95
6 62 22
24 1 4
55 38 34
35 25 98
22 14 39
64 41 0
11 35 88
9 15 15
55 56 46
64 7 80
62 46 1
65 7 53
32 29 0
14 65 10
32 42 81
42 33 21
38 43 91
64 16 93
49 48 69
5 19 58
56 39 62
17 35 17
32 17 12
39 50 13
51 58 20
58 16 4
25 20 45
20 47 13
25 12 82
11 23 32
63 2 94
8 2 57
64 36 63
51 59 18
64 26 17
14 54 14
10 8 70
66 54 58
50 35 27
17 64 95
23 33 81
52 66 98
9 52 2
21 54 90
60 7 54
26 60 57
22 27 34
36 7 56
32 8 33
2 36 90
19 17 93
59 56 92
53 44 8
4 10 18
52 16 53
54 4 83
52 4 74
21 52 74
13 34 37
42 17 28
23 31 59
19 1 38
18 43 51
59 33 46
58 38 81
41 24 73
57 15 59
32 10 44
5 11 71
52 44 59
5 26 64
53 15 88
20 21 45
60 56 12
38 53 76
23 56 37
57 4 38
54 15 56
40 7 78
62 38 24
5 23 79
25 46 40
36 40 99
57 63 33
50 50 19
47 63 82
50 28 31
47 26 53
42 65 48
12 49 92
57 27 43
57 51 68
59 27 36
2 18 65
37 23 30
53 21 53
38 29 82
58 10 54
35 10 27
21 7 86
35 19 92
53 58 57
66 65 15
27 10 78
12 51 20
55 32 28
1 29 63
66 21 26
44 38 95
23 64 39
60 18 6
36 35 82
2 53 33
56 50 85
51 54 98
23 54 35
27 25 97
32 39 86
55 61 79
22 57 58
21 59 92
43 51 66
39 65 65
35 29 47
50 65 71
4 66 38
18 26 18
29 47 45
14 53 96
18 56 62
19 57 92
4 37 88
41 53 45
1 14 80
45 54 53
56 17 14
27 4 9
11 13 74
65 41 78
7 53 95
29 28 10
5 1 61
62 16 7
6 3 60
8 25 1
11 52 9
23 24 99
1 27 82
16 6 66
35 43 40
37 6 87
36 3 15
25 41 50
17 12 30
20 18 15
3 63 38
27 44 25
50 16 77
51 66 65
9 11 81
48 58 93
59 23 58
21 39 69
63 33 82
58 56 8
58 46 78
60 23 91
49 18 54
25 40 67
51 11 38
9 51 95
5 63 5
27 31 43
39 1 50
50 27 20
11 18 55
9 26 23
22 59 59
48 41 35
43 13 75
36 33 68
5 56 70
7 48 80
12 11 25
50 60 41
58 23 27
4 62 69
12 22 53
20 33 4
62 11 55
56 44 30
45 32 55
38 18 97
50 44 45
49 54 34
46 61 30
52 57 38
22 50 6
6 50 38
33 28 11
7 30 98
16 29 36
4 19 45
5 53 23
55 9 32
16 26 10
52 37 4
14 39 50
26 50 66
17 28 45
57 21 63
57 7 86
22 37 39
13 52 29
39 25 87
66 41 85
28 1 2
25 52 43
29 52 68
3 37 64
38 26 4
32 59 99
54 43 92
52 27 84
16 55 80
57 62 78
35 1 96
7 18 14
55 50 96
62 51 77
38 36 66
8 60 49
20 12 6
30 29 16
61 65 73
34 30 34
39 58 45
22 19 48
48 10 35
6 56 47
55 26 18
56 11 53
62 5 21
21 41 12
64 59 46
49 49 29
46 36 8
6 11 0
60 54 25
34 26 94
48 33 5
58 2 55
12 56 73
28 28 72
58 49 24
1 18 42
61 50 27
45 39 79
11 46 29
4 56 7
50 21 43
22 62 43
32 34 49
38 32 7
43 50 58
37 32 24
16 28 67
6 2 5
19 54 58
56 10 73
40 58 50
21 1 78
19 40 7
31 47 3
21 19 61
31 31 39
5 10 65
64 66 29
4 30 74
44 13 89
34 39 28
44 46 4
66 59 72
14 61 55
8 65 57
23 19 10
50 49 47
56 43 85
60 36 5
13 58 63
7 9 12
41 44 9
45 64 59
28 63 39
40 47 6
36 59 6
27 42 93
41 8 84
16 40 89
53 28 85
34 12 59
47 10 71
56 24 17
9 34 27
46 45 3
53 46 84
18 22 89
44 4 42
22 29 60
54 11 45
43 4 40
29 39 46
34 53 20
14 10 10
6 22 55
31 59 26
66 62 40
20 58 80
32 41 62
24 66 47
60 65 7
51 51 68
7 17 77
11 63 94
60 60 32
64 3 23
6 21 75
19 53 84
44 29 96
47 18 60
52 45 64
22 10 52
64 39 39
42 30 78
11 16 65
34 15 0
41 40 49
17 51 76
64 54 15
33 7 86
42 12 90
65 38 73
4 5 26
13 12 95
46 64 33
13 37 97
54 13 80
13 65 45
65 35 20
24 4 64
18 8 83
25 32 77
35 53 7
20 35 21
50 14 5
27 37 0
1 54 16
58 58 22
41 3 5
47 58 53
23 65 15
21 28 27
2 48 27
17 18 55
8 27 94
31 58 86
13 23 51
46 18 96
59 52 87
33 53 8
12 54 92
34 19 59
65 62 71
50 24 36
4 34 91
13 59 29
24 32 86
27 56 60
10 1 31
11 14 66
59 24 89
27 45 98
42 45 3
23 30 21
28 32 49
15 27 66
20 20 32
20 41 80
32 40 81
62 55 13
20 46 28
15 32 15
49 52 51
34 65 92
31 2 77
7 13 27
33 25 54
41 49 70
2 40 18
65 4 21
36 20 43
56 56 42
33 14 49
66 12 80
59 6 17
27 17 31
39 30 14
55 27 43
20 43 53
21 43 69
38 46 99
53 20 5
49 15 6
6 5 42
65 20 50
4 61 44
56 52 94
66 11 74
66 43 48
61 45 23
22 65 98
63 7 82
30 60 29
63 10 97
33 49 45
16 49 95
34 34 58
28 55 38
23 51 98
26 11 5
49 66 21
48 17 40
38 7 44
11 33 17
26 53 71
16 42 7
19 30 80
1 25 20
7 52 47
18 27 3
1 12 46
56 42 0
48 13 90
63 1 13
35 40 7
50 33 7
54 40 38
47 17 38
12 32 94
21 10 5
4 38 20
38 51 37
39 43 9
57 26 96
43 64 6
8 53 76
60 27 93
29 26 6
55 12 47
13 17 5
24 25 17
32 61 63
11 15 16
28 48 16
22 21 85
51 55 21
48 8 59
13 15 69
35 57 8
28 54 36
27 48 64
22 20 72
3 66 98
49 8 7
33 41 94
64 1 81
53 47 75
4 58 7
60 42 89
53 37 88
31 38 30
41 51 1
59 5 50
2 42 77
39 17 81
14 17 23
18 50 42
65 33 90
44 10 49
28 15 91
6 38 34
57 46 6
16 15 52
54 25 43
47 64 7
66 5 90
50 48 89
48 4 91
44 62 36
65 30 56
58 11 24
9 58 96
47 2 87
2 51 41
6 66 6
54 59 14
65 58 20
62 32 29
30 53 81
45 66 66
20 9 40
9 62 6
25 65 12
10 39 69
9 12 49
16 13 27
49 53 87
17 44 39
20 51 70
37 37 32
8 44 58
31 34 34
13 26 20
62 52 74
29 15 2
36 30 19
